"DISTRICT","2000 Pres. % Rep.","2000 Pres. % Dem.","2000 US
Sen.
%Rep.","2000 US
 Sen.
% Dem.","1997 Gov. % Rep.","1997 Gov. % Dem.","1997 Lt. Gov. % Rep.","1997 Lt. Gov. % Dem.","1996 Pres. % Rep.","1996 Pres. % Dem.","1996 US Sen. % Rep.","1996 US Sen. % Dem."
1,57%,42%,60%,40%,64%,36%,61%,39%,44%,45%,42%,58%
2,46%,52%,49%,51%,49%,51%,47%,53%,34%,55%,35%,65%
3,46%,52%,48%,52%,53%,47%,48%,52%,33%,57%,36%,64%
4,59%,40%,62%,38%,60%,40%,58%,42%,49%,41%,47%,53%
5,61%,38%,62%,38%,63%,37%,56%,44%,46%,42%,46%,54%
6,59%,40%,59%,41%,61%,39%,56%,44%,45%,43%,47%,53%
7,57%,40%,57%,43%,61%,39%,54%,46%,46%,42%,49%,51%
8,60%,38%,58%,42%,63%,37%,54%,46%,52%,40%,55%,45%
9,61%,37%,63%,37%,62%,38%,44%,56%,46%,41%,51%,49%
10,60%,39%,60%,40%,58%,42%,43%,57%,47%,41%,48%,52%
11,37%,61%,39%,61%,44%,56%,38%,62%,31%,62%,36%,64%
12,49%,46%,49%,51%,50%,50%,44%,56%,39%,50%,45%,55%
13,61%,37%,62%,38%,66%,34%,65%,35%,56%,37%,60%,40%
14,54%,43%,55%,45%,60%,40%,45%,55%,50%,43%,52%,48%
15,66%,33%,66%,34%,68%,32%,67%,33%,55%,35%,57%,43%
16,62%,36%,62%,38%,64%,36%,45%,55%,53%,38%,54%,46%
17,59%,39%,58%,42%,62%,38%,54%,46%,52%,40%,56%,44%
18,61%,37%,61%,39%,64%,36%,62%,38%,54%,36%,59%,41%
19,65%,33%,64%,36%,66%,34%,56%,44%,52%,37%,56%,44%
20,67%,30%,66%,34%,69%,31%,71%,29%,60%,30%,62%,38%
21,52%,46%,51%,49%,60%,40%,59%,41%,46%,46%,53%,47%
22,65%,33%,65%,35%,67%,33%,52%,48%,55%,36%,56%,44%
23,53%,45%,53%,47%,56%,44%,43%,57%,48%,46%,51%,49%
24,58%,39%,58%,42%,61%,39%,49%,51%,47%,43%,52%,48%
25,65%,33%,64%,36%,68%,32%,66%,34%,57%,33%,59%,41%
26,67%,29%,66%,34%,69%,31%,71%,29%,62%,31%,62%,38%
27,61%,38%,61%,39%,69%,31%,66%,34%,58%,34%,55%,45%
28,56%,41%,54%,46%,56%,44%,51%,49%,51%,42%,53%,47%
29,62%,35%,63%,37%,67%,33%,67%,33%,56%,35%,60%,40%
30,60%,37%,61%,39%,64%,36%,59%,41%,52%,38%,58%,42%
31,50%,47%,52%,48%,63%,37%,60%,40%,49%,44%,51%,49%
32,57%,41%,58%,42%,63%,37%,61%,39%,54%,39%,60%,40%
33,56%,41%,57%,43%,58%,42%,57%,43%,50%,42%,58%,42%
34,54%,42%,51%,49%,55%,45%,53%,47%,55%,41%,65%,35%
35,51%,45%,50%,50%,53%,47%,52%,48%,51%,44%,61%,39%
36,43%,53%,42%,58%,44%,56%,43%,57%,42%,52%,53%,47%
37,51%,45%,50%,50%,55%,45%,54%,46%,50%,44%,60%,40%
38,40%,56%,40%,60%,46%,54%,44%,56%,41%,54%,51%,49%
39,48%,49%,47%,53%,52%,48%,50%,50%,48%,47%,58%,42%
40,57%,40%,57%,43%,61%,39%,60%,40%,56%,39%,60%,40%
41,52%,45%,50%,50%,56%,44%,54%,46%,51%,44%,60%,40%
42,51%,46%,50%,50%,58%,42%,57%,43%,51%,44%,58%,42%
43,45%,52%,45%,55%,54%,46%,51%,49%,45%,50%,52%,48%
44,46%,51%,45%,55%,53%,47%,52%,48%,47%,49%,55%,45%
45,38%,58%,36%,64%,39%,61%,38%,62%,37%,58%,49%,51%
46,34%,63%,34%,66%,41%,59%,39%,61%,33%,62%,44%,56%
47,33%,62%,32%,68%,36%,64%,35%,65%,33%,62%,46%,54%
48,38%,56%,37%,63%,39%,61%,39%,61%,39%,56%,52%,48%
49,28%,66%,29%,71%,33%,67%,32%,68%,28%,67%,40%,60%
50,54%,43%,57%,43%,64%,36%,62%,38%,52%,40%,55%,45%
51,51%,47%,51%,49%,62%,38%,60%,40%,50%,44%,54%,46%
52,48%,50%,49%,51%,63%,37%,60%,40%,46%,46%,50%,50%
53,43%,52%,43%,57%,46%,54%,44%,56%,43%,51%,53%,47%
54,59%,40%,57%,43%,59%,41%,54%,46%,52%,41%,53%,47%
55,68%,30%,67%,33%,70%,30%,66%,34%,63%,29%,60%,40%
56,62%,37%,61%,39%,63%,37%,59%,41%,56%,37%,56%,44%
57,38%,54%,37%,63%,44%,56%,35%,65%,39%,55%,47%,53%
58,57%,39%,56%,44%,63%,37%,53%,47%,54%,39%,59%,41%
59,52%,45%,53%,47%,54%,46%,38%,62%,43%,48%,46%,54%
60,55%,43%,54%,46%,61%,39%,49%,51%,48%,44%,50%,50%
61,58%,42%,59%,41%,62%,38%,47%,53%,49%,43%,53%,47%
62,62%,37%,63%,37%,69%,31%,64%,36%,57%,35%,53%,47%
63,36%,63%,39%,61%,44%,56%,40%,60%,31%,63%,35%,65%
64,57%,41%,53%,47%,55%,45%,53%,47%,47%,44%,56%,44%
65,68%,30%,67%,33%,71%,29%,68%,32%,64%,30%,61%,39%
66,69%,30%,68%,32%,73%,27%,69%,31%,64%,28%,61%,39%
67,55%,42%,55%,45%,59%,41%,59%,41%,53%,41%,58%,42%
68,59%,37%,56%,44%,62%,38%,62%,38%,60%,35%,62%,38%
69,24%,73%,27%,73%,33%,67%,32%,68%,25%,69%,28%,72%
70,29%,70%,31%,69%,38%,62%,36%,64%,29%,65%,32%,68%
71,24%,71%,24%,76%,28%,72%,29%,71%,24%,71%,29%,71%
72,66%,32%,63%,37%,69%,31%,66%,34%,64%,31%,63%,37%
73,62%,37%,59%,41%,65%,35%,64%,36%,60%,34%,60%,40%
74,29%,70%,30%,70%,36%,64%,33%,67%,28%,67%,30%,70%
75,42%,57%,42%,58%,47%,53%,43%,57%,34%,60%,40%,60%
76,58%,41%,56%,44%,63%,37%,60%,40%,51%,41%,58%,42%
77,30%,69%,31%,69%,37%,63%,34%,66%,25%,70%,32%,68%
78,62%,37%,59%,41%,67%,33%,66%,34%,57%,36%,60%,40%
79,47%,52%,44%,56%,52%,48%,50%,50%,43%,50%,53%,47%
80,27%,71%,27%,73%,32%,68%,30%,70%,23%,72%,34%,66%
81,61%,37%,58%,42%,63%,37%,60%,40%,52%,39%,56%,44%
82,61%,37%,56%,44%,60%,40%,59%,41%,56%,37%,66%,34%
83,55%,44%,52%,48%,60%,40%,60%,40%,49%,43%,57%,43%
84,55%,43%,54%,46%,61%,39%,59%,41%,48%,44%,52%,48%
85,57%,42%,55%,45%,62%,38%,62%,38%,52%,40%,60%,40%
86,51%,46%,52%,48%,59%,41%,58%,42%,50%,43%,56%,44%
87,50%,48%,49%,51%,56%,44%,53%,47%,43%,48%,54%,46%
88,62%,36%,62%,38%,66%,34%,62%,38%,56%,36%,54%,46%
89,27%,72%,27%,73%,32%,68%,29%,71%,23%,72%,35%,65%
90,32%,68%,33%,67%,41%,59%,39%,61%,27%,67%,36%,64%
91,63%,36%,58%,42%,65%,35%,62%,38%,55%,36%,64%,36%
92,29%,70%,29%,71%,36%,64%,37%,63%,27%,67%,36%,64%
93,51%,48%,49%,51%,60%,40%,59%,41%,47%,46%,55%,45%
94,57%,42%,53%,47%,61%,39%,58%,42%,53%,40%,63%,37%
95,31%,68%,32%,68%,40%,60%,38%,62%,28%,66%,38%,62%
96,60%,38%,56%,44%,61%,39%,59%,41%,53%,39%,60%,40%
97,63%,36%,62%,38%,64%,36%,59%,41%,54%,37%,52%,48%
98,61%,37%,59%,41%,61%,39%,58%,42%,49%,41%,55%,45%
99,59%,40%,58%,42%,61%,39%,57%,43%,50%,42%,54%,46%
100,52%,46%,49%,51%,58%,42%,57%,43%,41%,48%,51%,49%
